00:30  ← 16:45   HTI → LCA - 29B10126	
	  39/39	
	06:00  ← 06:00   MDI → LCA - 24B00599	
	  44/44	
	07:00  ← 07:00   STA → LCA - 24B00772	
	  39/39	
	07:30  ← 07:30   MDI → LCA - 	
	  39/39	
	08:00  ← 08:00   GLA → LCA - 	
	  38/39	
	08:30  ← 08:30   MDI → LCA - 	
	  39/39	
	09:00  ← 09:00   MDI → SPA - 24B00539	
	  42/44	
	09:30  ← 09:30   MDI → LCA - 	
	  39/39	
	10:30  ← 10:30   GLA → LCA - 	
	  39/39	
	11:00  ← 11:00   MDI → LCA - 	
	  39/39	
	11:30  ← 11:30   MDI → LCA - 	
	  39/39	
	12:30  ← 12:30   MDI → SPA - 24B00615	
	  44/44	
	13:00  ← 13:00   GLA → LCA - 	
	  39/39	
	13:10  ← 13:00   MDI → SPA - 	
	  39/39	
	14:30  ← 14:30   MDI → LCA - 	
	  39/39	
	15:00  ← 14:00   YNG → SPA - 	
	  39/39	
	15:30  ← 15:30   MDI → LCA - 	
	  39/39	
	16:30  ← 16:30   MDI → LCA - 	
	  39/39	
	17:05  ← 17:05   MDI → LCA - 	
	  39/39	
	18:45  ← 18:45   MDI → LCA - 	
	  39/39	
	19:30  ← 19:00   MDI → BHA - 24B00655	
	  36/44	
	20:30  ← 19:40   YNG → LCA - 	
	  39/39	
	22:30  ← 21:45   GP → SPA - 	
	  30/39	
	23:00  ← 22:15   YNG → SPA - 	
	  39/39	
	23:30  ← 22:30   YNG → SPA - 24B00511	
	  30/44	
